# timestamp tx ty tz qx qy qz qw
1.520530308199447632e+09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.775170671832456163e-03 6.343944913180635074e-03 -0.000000000000000000e+00 9.999783013305960644e-01
1.520530308249448776e+09 3.847796688205562532e-05 1.074458123184740543e-04 -1.285504549741744995e-05 3.311809557002850287e-03 4.154991281959025812e-03 5.437214176567643645e-04 9.999857360642324666e-01
1.520530308299450636e+09 -5.817884084535762668e-05 3.863618185278028250e-04 -5.836989730596542358e-04 4.992585409832814292e-03 4.119476122433778781e-03 1.803467320189936418e-03 9.999774255017096491e-01
1.520530308349502563e+09 1.280298311030492187e-04 8.342657820321619511e-04 -1.219552010297775269e-03 7.272318831851053156e-03 2.522165223469779831e-03 3.170046240916649192e-03 9.999653508338294250e-01
1.520530308399504662e+09 -7.472635479643940926e-04 -2.654861425980925560e-03 -1.276666152989491820e-04 4.660450152555556738e-03 1.015929267695409900e-02 3.084517859723870381e-03 9.999327751035328449e-01
1.520530308449504614e+09 -3.261109814047813416e-04 -4.667209461331367493e-03 -9.742576512508094311e-04 1.020389284470501860e-02 3.489432469136411787e-03 1.550059696957811241e-03 9.999406491121325402e-01
1.520530308499506474e+09 -7.378688223980134353e-06 -6.890653166919946671e-03 -7.494544115616008639e-05 1.280840923822412943e-02 1.374089478142751083e-03 -2.873609477880291821e-03 9.999128956561470494e-01
1.520530308549507618e+09 -1.331063103862106800e-03 -7.138725370168685913e-03 -4.905739333480596542e-04 4.658965376547716773e-03 1.562518294668710809e-03 -9.502508642148407153e-03 9.999427758165488900e-01
1.520530308599509716e+09 -3.680528898257762194e-04 -1.357196643948554993e-02 -3.975174855440855026e-03 6.764224641516049588e-03 7.196869606543961594e-03 -1.454518530024568115e-02 9.998454320130921724e-01
1.520530308649555445e+09 1.468999660573899746e-03 -1.895670406520366669e-02 -6.061129737645387650e-03 1.976909547273292440e-03 1.077511142871428670e-02 -1.404329923762753438e-02 9.998413746934377011e-01
1.520530308699512720e+09 2.711131004616618156e-03 -1.997773163020610809e-02 -5.868387408554553986e-03 2.303282347237590923e-03 9.330883013637485124e-03 -1.221245913282773335e-02 9.998792353852259396e-01
1.520530308749559164e+09 1.488047535531222820e-03 -1.976170390844345093e-02 -5.143833812326192856e-03 6.977799554973211291e-03 9.025828577549868670e-03 -1.160453868760526024e-02 9.998675809394498293e-01
1.520530308799560070e+09 7.789211231283843517e-04 -1.910599507391452789e-02 -3.549005370587110519e-03 1.087170028637805298e-02 5.292169430339192446e-03 -1.193253623948536783e-02 9.998556964154864390e-01
1.520530308849561930e+09 4.933635937049984932e-04 -1.976522617042064667e-02 -2.937557641416788101e-03 1.435086963526167360e-02 5.267756547939553144e-05 -8.084536497628398363e-03 9.998643358153166405e-01
1.520530308899563074e+09 9.186011156998574734e-04 -2.013810910284519196e-02 -3.311121137812733650e-03 1.560408102789878626e-02 -2.739803771483129407e-03 -4.644206099944808187e-03 9.998637094525781865e-01
1.520530308949564934e+09 2.144954865798354149e-03 -2.087278291583061218e-02 -2.327436581254005432e-03 1.501648673700858687e-02 -3.335969027775614101e-03 -3.011506024502628824e-03 9.998771460875517381e-01
1.520530308999567032e+09 3.530328860506415367e-03 -2.135212533175945282e-02 -1.592722837813198566e-03 1.372903500440266975e-02 -3.789043309276713799e-03 -2.397972406133468820e-03 9.998956977990193229e-01
1.520530309049568176e+09 3.047153353691101074e-03 -2.251208201050758362e-02 -2.160122618079185486e-03 1.315570373740909509e-02 -4.854333355717940952e-03 -2.809208916772742894e-03 9.998977303965176366e-01
1.520530309099570036e+09 3.597661852836608887e-03 -2.241869084537029266e-02 -1.876894617453217506e-03 1.377621435313477159e-02 -5.435690110089386358e-03 -3.646489116262727030e-03 9.998836793888818963e-01
1.520530309149567366e+09 3.721527755260467529e-03 -2.252956479787826538e-02 -2.212093444541096687e-03 1.300639336245063872e-02 -7.606651379429463407e-03 -2.441492548466867377e-03 9.998834990640804721e-01
1.520530309199582577e+09 3.935224842280149460e-03 -2.263855189085006714e-02 -2.321450738236308098e-03 1.156127419996390467e-02 -1.068219139618486503e-02 -2.207504988315409002e-03 9.998736693440701817e-01
